date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:28	152514/152514	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/03-shangrila/02.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/03-shangrila/02.jpg	(from http://florentpetitfrere.com/documentary/03-shangrila.php)
00:32:31	141872/141872	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/03-shangrila/04.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/03-shangrila/04.jpg	(from http://florentpetitfrere.com/documentary/03-shangrila.php)
00:32:32	153446/153446	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/03-shangrila/03.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/03-shangrila/03.jpg	(from http://florentpetitfrere.com/documentary/03-shangrila.php)
00:32:55	199589/199589	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/03-shangrila/05.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/03-shangrila/05.jpg	(from http://florentpetitfrere.com/documentary/03-shangrila.php)
00:33:03	194406/194406	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/03-shangrila/07.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/03-shangrila/07.jpg	(from http://florentpetitfrere.com/documentary/03-shangrila.php)
00:33:04	52378/52378	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/04-mumbai/cover2.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/04-mumbai/cover2.jpg	(from http://florentpetitfrere.com/documentary/03-shangrila.php)
00:33:05	230038/230038	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/03-shangrila/06.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/03-shangrila/06.jpg	(from http://florentpetitfrere.com/documentary/03-shangrila.php)
00:33:25	329322/329322	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/03-shangrila/08.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/03-shangrila/08.jpg	(from http://florentpetitfrere.com/documentary/03-shangrila.php)
00:33:37	210235/210235	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/04-mumbai/01.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/04-mumbai/01.jpg	(from http://florentpetitfrere.com/documentary/04-mumbai.php)
00:33:41	230174/230174	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/04-mumbai/02.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/04-mumbai/02.jpg	(from http://florentpetitfrere.com/documentary/04-mumbai.php)
00:33:49	270094/270094	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/04-mumbai/03.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/04-mumbai/03.jpg	(from http://florentpetitfrere.com/documentary/04-mumbai.php)
00:34:00	214901/214901	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jul%202017%2010:18:14%20GMT	http://florentpetitfrere.com/img/documentary/04-mumbai/04.jpg	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/img/documentary/04-mumbai/04.jpg	(from http://florentpetitfrere.com/documentary/04-mumbai.php)
